t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
1.280000000000000000e+02	1.850767272853042641e+03	1.257967662099820849e+01	2.912461253914900539e+01	2.410641303275034204e+02	1.263253710661480682e+03	1.061052936159800275e+01	4.201256425827344287e+01	3.614911800637588044e+02	4.058014617875210206e+01	3.726779962499648935e-01	1.777560750641794973e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.020435425001123008e+03	0.000000000000000000e+00
1.290000000000000000e+02	1.838762615618781183e+03	1.180917428198188013e+01	2.925008903120353665e+01	2.411957480738184358e+02	1.250801806731275292e+03	1.173284800132611494e+01	4.052948172489858791e+01	3.672847985744698462e+02	3.337286718112319051e+01	2.763853991962832435e-01	2.432063024585414901e+00	3.307189138830738395e-01	1.998263134713633427e-01	0.000000000000000000e+00	1.001648861981250093e+03	0.000000000000000000e+00
1.300000000000000000e+02	1.822010946424002213e+03	1.229491482506306710e+01	2.785864617433278312e+01	2.451320187107800450e+02	1.234525504889316608e+03	1.144484054061042855e+01	3.910826763258917538e+01	3.713956410921138058e+02	3.875232967907292192e+01	2.763853991962832990e-01	1.572330188676100748e+00	1.998263134713633149e-01	1.998263134713633982e-01	1.998263134713633427e-01	1.025463265905815888e+03	0.000000000000000000e+00
1.310000000000000000e+02	1.801509933342182649e+03	1.232544792965621383e+01	2.603949990985916685e+01	2.465944397352327542e+02	1.215965654211590618e+03	1.032114536602729338e+01	3.981624459103763058e+01	3.753396031706930671e+02	3.633256879929570005e+01	1.998263134713633427e-01	1.526956850150724687e+00	1.998263134713633982e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.015508972004788347e+03	0.000000000000000000e+00
1.320000000000000000e+02	1.775941111522907931e+03	1.194402454042280581e+01	2.770200428970197493e+01	2.476455660594166375e+02	1.185305117774415976e+03	1.047210248973698477e+01	3.942606917453926485e+01	3.778725167154775590e+02	3.889158720797539814e+01	1.998263134713634259e-01	1.240939384319619254e+00	2.763853991962832435e-01	3.307189138830738395e-01	0.000000000000000000e+00	1.059171361122562757e+03	0.000000000000000000e+00
1.330000000000000000e+02	1.772520928708130441e+03	1.353230445596347487e+01	2.369364659331460743e+01	2.507219540923548493e+02	1.176659867042440283e+03	1.045326902616274012e+01	3.861778519456201764e+01	3.826010396686809827e+02	4.487248522820588903e+01	0.000000000000000000e+00	1.832859787326897472e+00	1.998263134713634537e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.067831791236335221e+03	0.000000000000000000e+00
1.340000000000000000e+02	1.733250286472082053e+03	1.317483923578913441e+01	2.146407690123714929e+01	2.541441383458519567e+02	1.134638718197705884e+03	1.101766258735894155e+01	3.896096247812959490e+01	3.864040056153087335e+02	5.005073814529500709e+01	1.998263134713634259e-01	1.423390904378226907e+00	2.763853991962832435e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.072403374791355645e+03	0.000000000000000000e+00
1.350000000000000000e+02	1.683565548648825825e+03	1.219111413648846742e+01	2.044844465696325031e+01	2.570904375031392988e+02	1.086206357005886730e+03	1.060259074733885853e+01	3.868058298423125052e+01	3.875291722890032702e+02	5.170348150753486749e+01	3.996526269427269074e-01	1.450574598794100778e+00	2.763853991962832435e-01	2.763853991962832990e-01	0.000000000000000000e+00	1.100206445273895952e+03	0.000000000000000000e+00
1.360000000000000000e+02	1.650332756324378806e+03	1.249770812322536706e+01	2.052014592757295475e+01	2.576417591184834919e+02	1.054050876381211538e+03	9.900810152036381595e+00	3.721549483152892179e+01	3.916126913163055292e+02	5.290236027080666048e+01	3.726779962499648935e-01	1.578941276791368198e+00	1.998263134713633427e-01	1.998263134713633704e-01	0.000000000000000000e+00	1.061573949378939915e+03	0.000000000000000000e+00
1.370000000000000000e+02	1.612370872844464884e+03	1.054677083281892536e+01	2.196489465538640573e+01	2.587972044971807009e+02	1.017850491606644823e+03	1.065754818583211083e+01	3.382550709975470227e+01	3.966349580288600123e+02	5.375017764828523781e+01	1.998263134713633704e-01	1.437952827228116570e+00	2.763853991962832435e-01	2.763853991962832435e-01	0.000000000000000000e+00	1.066277311751289062e+03	0.000000000000000000e+00
1.380000000000000000e+02	1.590892743783257856e+03	9.471356672738190596e+00	2.179003339959706409e+01	2.616585687441215669e+02	1.007639174802777575e+03	8.474532927149043715e+00	3.513861440384669521e+01	3.988667975931591627e+02	4.546012828720228072e+01	0.000000000000000000e+00	1.368672308804736781e+00	2.763853991962832435e-01	1.998263134713633704e-01	0.000000000000000000e+00	1.027349271689850639e+03	0.000000000000000000e+00
1.390000000000000000e+02	1.553143208589886854e+03	8.470127245535072902e+00	2.176448272606848278e+01	2.622246671113659318e+02	9.791634468032166296e+02	8.644904568588366089e+00	3.388952640566108698e+01	4.020232662386870288e+02	3.918855771211228500e+01	2.763853991962832435e-01	1.578941276791368198e+00	4.982608642958915035e-01	3.307189138830738395e-01	0.000000000000000000e+00	1.055466496882618685e+03	0.000000000000000000e+00
1.400000000000000000e+02	1.523538342673797615e+03	7.355907489902248741e+00	2.181833931708725061e+01	2.656300555074460590e+02	9.507687204163914885e+02	9.551032521262936115e+00	3.245378658783731396e+01	4.047182404669533184e+02	3.737943582000966813e+01	3.307189138830738395e-01	1.224035901797365211e+00	1.998263134713633982e-01	1.998263134713633704e-01	0.000000000000000000e+00	1.046292568495489604e+03	0.000000000000000000e+00
1.410000000000000000e+02	1.484843841747340093e+03	8.850513952433622933e+00	2.088510234593070081e+01	2.669979582735085728e+02	9.176227882944178873e+02	9.920167449303576745e+00	3.114471151825869200e+01	4.089486329296137797e+02	3.090127649287143541e+01	1.998263134713633704e-01	1.320248293146238483e+00	3.307189138830738395e-01	2.763853991962832990e-01	0.000000000000000000e+00	1.046046551970269093e+03	0.000000000000000000e+00
1.420000000000000000e+02	1.474782194370861589e+03	1.026996700200259838e+01	1.963203164898290964e+01	2.673614873734726416e+02	9.071990078976913310e+02	7.947636790616162017e+00	2.924703213813136671e+01	4.109077328678004051e+02	3.286205913444188553e+01	2.763853991962832990e-01	1.059841445164742213e+00	2.763853991962832990e-01	0.000000000000000000e+00	1.998263134713633149e-01	1.036178351631073610e+03	0.000000000000000000e+00
1.430000000000000000e+02	1.443562779467484461e+03	9.640409742329421050e+00	2.059378951690695203e+01	2.689228481626075791e+02	8.819904060639712498e+02	9.686671111492442421e+00	2.871673800532829546e+01	4.106619656116207580e+02	3.672190441533349059e+01	6.236095644623235179e-01	1.946774397703944670e+00	5.384519993050036479e-01	1.998263134713633704e-01	0.000000000000000000e+00	1.054237829449155470e+03	0.000000000000000000e+00
