t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
1.850000000000000000e+02	5.218737500000000000e+04	8.725000000000000000e+01	1.581250000000000000e+02	4.209916666666666970e+03	3.957083333333333576e+04	2.183333333333333215e+01	3.018333333333333144e+02	3.462833333333333485e+03	1.906333333333333258e+03	1.308333333333333393e+01	6.537500000000000000e+01	3.987500000000000000e+01	1.383333333333333393e+01	5.062500000000000000e+01	4.852720833333333576e+04	3.544625000000000000e+03
1.860000000000000000e+02	5.217787500000000000e+04	8.787500000000000000e+01	1.585416666666666572e+02	4.236791666666666970e+03	3.954408333333333576e+04	2.112500000000000000e+01	3.008750000000000000e+02	3.472833333333333485e+03	1.907333333333333258e+03	1.391666666666666607e+01	6.720833333333332860e+01	3.779166666666666430e+01	1.333333333333333393e+01	5.212500000000000000e+01	4.878587500000000000e+04	3.547041666666666515e+03
1.870000000000000000e+02	5.213708333333333576e+04	8.629166666666667140e+01	1.615416666666666572e+02	4.259875000000000000e+03	3.954950000000000000e+04	2.133333333333333215e+01	2.977916666666666856e+02	3.486583333333333485e+03	1.911041666666666742e+03	1.495833333333333393e+01	6.379166666666666430e+01	3.966666666666666430e+01	1.466666666666666607e+01	5.516666666666666430e+01	4.903137500000000000e+04	3.548500000000000000e+03
1.880000000000000000e+02	5.212912500000000000e+04	8.904166666666667140e+01	1.608750000000000000e+02	4.278125000000000000e+03	3.952041666666666424e+04	1.975000000000000000e+01	2.973333333333333144e+02	3.505333333333333485e+03	1.916875000000000000e+03	1.404166666666666607e+01	6.762500000000000000e+01	3.850000000000000000e+01	1.400000000000000000e+01	5.079166666666666430e+01	4.927516666666666424e+04	3.546541666666666515e+03
1.890000000000000000e+02	5.210300000000000000e+04	8.945833333333332860e+01	1.607500000000000000e+02	4.308458333333333030e+03	3.950645833333333576e+04	2.258333333333333215e+01	2.972083333333333144e+02	3.512083333333333485e+03	1.922958333333333258e+03	1.275000000000000000e+01	6.933333333333332860e+01	3.904166666666666430e+01	1.462500000000000000e+01	5.066666666666666430e+01	4.951883333333333576e+04	3.550583333333333485e+03
1.900000000000000000e+02	5.206187500000000000e+04	9.329166666666667140e+01	1.611250000000000000e+02	4.332333333333333030e+03	3.951004166666666424e+04	2.112500000000000000e+01	2.955833333333333144e+02	3.524625000000000000e+03	1.925458333333333258e+03	1.379166666666666607e+01	7.070833333333332860e+01	3.983333333333333570e+01	1.441666666666666607e+01	5.383333333333333570e+01	4.975158333333333576e+04	3.551541666666666515e+03
1.910000000000000000e+02	5.203250000000000000e+04	9.266666666666667140e+01	1.608333333333333428e+02	4.353833333333333030e+03	3.950141666666666424e+04	2.137500000000000000e+01	2.962916666666666856e+02	3.541083333333333485e+03	1.933458333333333258e+03	1.266666666666666607e+01	7.025000000000000000e+01	3.983333333333333570e+01	1.479166666666666607e+01	5.283333333333333570e+01	5.000216666666666424e+04	3.559041666666666515e+03
1.920000000000000000e+02	5.196987500000000000e+04	8.979166666666667140e+01	1.622500000000000000e+02	4.366208333333333030e+03	3.952650000000000000e+04	2.287500000000000000e+01	2.985000000000000000e+02	3.564000000000000000e+03	1.927708333333333258e+03	1.458333333333333393e+01	6.937500000000000000e+01	3.983333333333333570e+01	1.366666666666666607e+01	5.470833333333333570e+01	5.025258333333333576e+04	3.558791666666666515e+03
1.930000000000000000e+02	5.192620833333333576e+04	8.800000000000000000e+01	1.630000000000000000e+02	4.377958333333333030e+03	3.953333333333333576e+04	2.258333333333333215e+01	2.990000000000000000e+02	3.589916666666666515e+03	1.917916666666666742e+03	1.416666666666666607e+01	6.937500000000000000e+01	3.995833333333333570e+01	1.533333333333333393e+01	5.391666666666666430e+01	5.049700000000000000e+04	3.551125000000000000e+03
1.940000000000000000e+02	5.190695833333333576e+04	8.941666666666667140e+01	1.634166666666666572e+02	4.395125000000000000e+03	3.951425000000000000e+04	2.137500000000000000e+01	2.990416666666666856e+02	3.610416666666666515e+03	1.912208333333333258e+03	1.350000000000000000e+01	7.000000000000000000e+01	4.295833333333333570e+01	1.458333333333333393e+01	5.320833333333333570e+01	5.073725000000000000e+04	3.548625000000000000e+03
1.950000000000000000e+02	5.191779166666666424e+04	9.262500000000000000e+01	1.600833333333333428e+02	4.420041666666666970e+03	3.946450000000000000e+04	2.162500000000000000e+01	3.002916666666666856e+02	3.623041666666666515e+03	1.916625000000000000e+03	1.387500000000000000e+01	7.025000000000000000e+01	4.266666666666666430e+01	1.329166666666666607e+01	5.204166666666666430e+01	5.098745833333333576e+04	3.553291666666666515e+03
1.960000000000000000e+02	5.188050000000000000e+04	9.162500000000000000e+01	1.602500000000000000e+02	4.445416666666666970e+03	3.946400000000000000e+04	2.287500000000000000e+01	2.992083333333333144e+02	3.636125000000000000e+03	1.915458333333333258e+03	1.262500000000000000e+01	6.820833333333332860e+01	4.362500000000000000e+01	1.520833333333333393e+01	5.087500000000000000e+01	5.123416666666666424e+04	3.549625000000000000e+03
1.970000000000000000e+02	5.183529166666666424e+04	9.041666666666667140e+01	1.600833333333333428e+02	4.470750000000000000e+03	3.947220833333333576e+04	2.237500000000000000e+01	2.985833333333333144e+02	3.650291666666666515e+03	1.913250000000000000e+03	1.304166666666666607e+01	6.908333333333332860e+01	4.245833333333333570e+01	1.462500000000000000e+01	4.925000000000000000e+01	5.147387500000000000e+04	3.542416666666666515e+03
